color;enable;color_name;hex_code;r;g;b;remark
white;1;Beige;#F5F5DC;245;245;220;
white;1;OldLace;#FDF5E6;253;245;230;
white;1;FloralWhite;#FFFAF0;255;250;240;
white;1;Ivory;#FFFFF0;255;255;240;
white;1;AntiqueWhite;#FAEBD7;250;235;215;
white;1;Linen;#FAF0E6;250;240;230;
white;1;LavenderBlush;#FFF0F5;255;240;245;
white;1;MistyRose;#FFE4E1;255;228;225;
gray;1;Gainsboro;#DCDCDC;220;220;220;
gray;1;LightGray;#D3D3D3;211;211;211;
gray;1;Silver;#C0C0C0;192;192;192;
gray;1;DarkGray;#A9A9A9;169;169;169;
gray;1;Gray;#808080;128;128;128;
gray;1;DimGray;#696969;105;105;105;
gray;1;LightSlateGray;#778899;119;136;153;
gray;1;SlateGray;#708090;112;128;144;
gray;1;DarkSlateGray;#2F4F4F;47;79;79;
gray;1;Black;#000000;0;0;0;
